indexid,tradedate,ticker,secids,waprice,issue_size_total,cap_total,ff_factor,w_factor,issue_size_index,cap_index,weight,value,num_trades,volatility,factora,factorb,influence,determinat,currencyid
IMOEX,2020-12-14,AFKS,AFKS,27.175,9650000000,262238750000,0.33,1.0000000,3184500000,86538787500,0.55,2539241418.3,37172,0.0217,0.002619,0.333451,-0.02,0.028821,RUB
IMOEX,2020-12-14,AFLT,AFLT,70.5,1110616299,78298449079.5,0.41,1.0000000,455352682.59,32102364122.595,0.21,1823100286.2,37371,0.0235,-0.001584,1.343795,0,0.39917,RUB
IMOEX,2020-12-14,ALRS,ALRS,90.4,7364965630,665792892952,0.34,1.0000000,2504088314.2,226369583603.68,1.45,1590481576.3,27356,0.024,0.0007,1.363465,-0.03,0.396168,RUB
IMOEX,2020-12-14,CBOM,CBOM,5.989,29829709866,178650132387.474,0.2,1.0000000,5965941973.2,35730026477.4948,0.23,299378484.2,5758,0.01,-0.000869,0.637184,0,0.498891,RUB
IMOEX,2020-12-14,CHMF,CHMF,1269,837718660,1063064979540,0.2,1.0000000,167543732,212612995908,1.36,4954839543.6,66240,0.0175,0.003485,0.549882,0.05,0.12143,RUB
IMOEX,2020-12-14,DSKY,DSKY,144.44,739000000,106741160000,0.74,1.0000000,546860000,78988458400,0.5,1526485000.8,28990,0.0247,0.004132,0.028044,0,0.000159,RUB
IMOEX,2020-12-14,FEES,FEES,0.20612,1274665323063,262734016389.7455,0.18,1.0000000,229439758151.34,47292122950.1542,0.3,475363749.8,9806,0.0115,0.000119,0.476711,0.01,0.210797,RUB
IMOEX,2020-12-14,FIVE,FIVE,2884,271572872,783216162848,0.41,1.0000000,111344877.52,321118626767.68,2.05,1401376298,15411,0.0206,-0.00181,0.668859,0.02,0.129662,RUB
IMOEX,2020-12-14,GAZP,GAZP,199.6,23673512900,4725233174840,0.5,0.8436987,9986656029.0816,1993336543404.6875,12.73,23208517261.2,145061,0.0159,0.000443,1.166034,-0.03,0.662108,RUB
IMOEX,2020-12-14,GMKN,GMKN,23946,158245476,3789346168296,0.38,0.8436987,50734370.9052,1214885245695.9192,7.76,6307276178,27055,0.0156,0.002186,0.946384,0,0.451588,RUB
IMOEX,2020-12-14,HYDR,HYDR,0.775,426288813551,330373830502.025,0.19,1.0000000,80994874574.69,62771027795.3848,0.4,543036316.6,11003,0.0142,-0.00107,0.510066,0,0.15913,RUB
IMOEX,2020-12-14,IRAO,IRAO,5.217,104400000000,544654799999.9999,0.33,1.0000000,34452000000,179736084000,1.15,2054779023.5,17104,0.0128,-0.002296,0.576631,-0.02,0.248381,RUB
IMOEX,2020-12-14,LKOH,LKOH,5299,692865762,3671495672838,0.55,0.8436987,321513468.4707,1703699869426.2395,10.88,10687687767,54894,0.0237,-0.000702,1.741561,-0.23,0.66438,RUB
IMOEX,2020-12-14,LSRG,LSRG,876,103030215,90254468340,0.42,1.0000000,43272690.3,37906876702.8,0.24,43229907.8,3782,0.0185,-0.001208,0.504088,0,0.091222,RUB
IMOEX,2020-12-14,MAGN,MAGN,50.67,11174330000,566203301100,0.16,1.0000000,1787892800,90592528176,0.58,2456895962.45,54364,0.0213,0.004554,0.741798,0.02,0.147914,RUB
IMOEX,2020-12-14,MAIL,MAIL,2088.4,208582082,435602820048.8001,0.53,1.0000000,110548503.46,230869494625.864,1.47,1010290856.4,23873,0.0139,-0.001757,0.383684,0,0.093318,RUB
IMOEX,2020-12-14,MGNT,MGNT,5500.5,101911355,560563408177.5,0.71,1.0000000,72357062.05,398000019806.025,2.54,2885101260.5,27351,0.0187,0.001396,0.480006,0.08,0.080631,RUB
IMOEX,2020-12-14,MOEX,MOEX,162.5,2276401458,369915236925,0.63,1.0000000,1434132918.54,233046599262.75,1.49,2686078887,31336,0.0162,-0.000479,0.682198,-0.04,0.21837,RUB
IMOEX,2020-12-14,MTSS,MTSS,319,1998381575,637483722424.9999,0.45,1.0000000,899271708.75,286867675091.25,1.83,1426201496.5,17253,0.0097,-0.00275,0.508236,-0.01,0.335274,RUB
IMOEX,2020-12-14,NLMK,NLMK,210.2,5993227240,1259776365848,0.19,1.0000000,1138713175.6,239357509511.12,1.53,2856832543,30583,0.0198,0.002278,0.70791,0.05,0.155971,RUB
IMOEX,2020-12-14,NVTK,NVTK,1214.6,3036306000,3687897267599.9995,0.21,1.0000000,637624260,774458426196,4.95,2486430886.2,22410,0.0227,-0.001586,1.694419,-0.04,0.680114,RUB
IMOEX,2020-12-14,PHOR,PHOR,3058,129500000,396011000000,0.25,1.0000000,32375000,99002750000,0.63,304612591,6522,0.012,0.000639,0.302358,0,0.0776,RUB
IMOEX,2020-12-14,PIKK,PIKK,579.7,660497344,382890310316.8001,0.18,1.0000000,118889521.92,68920255857.024,0.44,29716857,1627,0.0096,-0.000349,0.316049,0,0.131524,RUB
IMOEX,2020-12-14,PLZL,PLZL,14340,134261084,1925303944560,0.21,1.0000000,28194827.64,404313828357.6001,2.58,2870773190.5,24619,0.0251,-0.003238,0.035717,0.02,0.000248,RUB
IMOEX,2020-12-14,POGR,POGR,29.91,3906899888,116855375650.08,0.65,1.0000000,2539484927.2,75955994172.552,0.49,193130554.5,5930,0.0253,-0.003772,0.651949,0.01,0.081508,RUB
IMOEX,2020-12-14,POLY,POLY,1590.2,471804467,750263463423.4001,0.45,1.0000000,212312010.15,337618558540.53,2.16,2677369089.6,41852,0.0264,-0.001688,0.154131,-0.07,0.004175,RUB
