SBER;MOEX;YNDX
255;107.18;2685
253.9;108.03;2672
259.15;110.84;2677
257.99;111;2728.4
258.19;112.99;2725
262.4;114.1;2703.4
259.05;114.02;2685
256.31;115.88;2690
257.51;114.5;2719.8
262.5;114.8;2772.8
266.28;116;2800
268.06;114.62;2770
266.54;114.5;2790
263.73;113.82;2820.2
265.49;113;2798
255.32;110.62;2780
257.7;111.3;2799.8
259.94;111.8;2890
257.31;111.81;2888
252.2;109.94;2873.4
253.99;110.94;2880.6
255.4;113.35;2990
255.2;113.3;3008.2
252.11;112.42;3048.2
254.3;113.16;3103.8
252.26;113.8;3087.2
254.5;114;3085
254.5;112.91;3037.2
253.89;112.25;3087.4
251.75;112.5;3011
251.36;112.8;2983.6
249.2;111.8;2937
249.7;111.65;2953
250.15;112;2988.4
250.8;111.33;2911.8
245.19;107.54;2681.8
250.8;107.3;2690.8
242.88;104.73;2678.2
233.36;99.08;2659.8
228.17;99.73;2721.4
236.63;98.08;2723
235.27;96.5;2654.2
232.33;94.93;2728.2
219.99;90.95;2685
201.2;90;2590
194.53;92.64;2615
175.91;91.69;2460
198.6;90.01;2470
195.85;87.5;2370
184.01;83.97;2425
174.27;80.98;2318.8
189.51;88.46;2434
195.69;92;2455.2
183.37;91.6;2299.8
192.64;94.46;2459
188.08;92.97;2555.8
188.07;92.78;2610
180.38;91.73;2597
183;93.6;2670.2
187.21;97.25;2714.4
184.78;96.71;2605.8
186.95;97.25;2550.8
185.64;99;2520
190.7;100.75;2582
197.63;101.37;2668
200.29;104.2;2742.6
203.61;106.9;2697.2
201.99;105.4;2701
198.26;103.33;2659
197.37;106.2;2755.6
186.07;102.68;2588.2
188.5;108.58;2637.8
191.8;113.37;2630.4
189.32;111.8;2736.4
186.05;111;2659.2
190.2;116.04;2655
190.94;117.5;2640.6
188.91;117.03;2621
188.9;120.1;2715
192.8;125.35;2754.8
195.8;121.5;2870
197.25;120.23;2850.8
193.69;119.6;2828.8
194.75;120.99;2842.2
195.7;122.74;2864
195.51;124.78;2910.2
196.02;127.09;2975.2
191.4;128.3;2977
187.31;127.28;2893.4
183.81;116.46;2821.8
183.85;113.57;2839.6
188.93;115.91;2945
189;114.4;2970
193.98;115.8;2964.6
192.4;115.35;2910.8
188.9;114.47;2905
191;115.98;2960.6
194;115.33;2913.2
198.51;114.59;2826
205;115.39;2888
200.5;114.29;2833.2
203.66;114.42;2846
212;115.5;2837.8
221.5;118.48;2867.6
213.1;118.4;2861.6
219.1;118.28;2884
220.3;116.66;2873.2
217.23;115.05;2902
212.53;115.42;2881.2
208.35;116.05;2850
207.32;116.24;2967.4
207.76;116.13;3009
208.14;115;3068.2
203.77;115.16;3108
207;115.67;3155
206.4;116;3254.2
207.3;115.4;3358.6
206.92;114.87;3499
203.15;113.42;3430
205.8;113.4;3467
203.22;113.25;3545.6
209.6;116.07;3548.6
210.95;116.14;3549.6
214.61;118.99;3639
210.53;122.51;3598.8
210.97;122.48;3581.8
209.11;124.01;3637.8
212.28;126.45;3633
208.39;124.04;3678
209.5;124.92;3772
211.09;125.69;3882.8
211.35;125.34;3824
210.81;125.37;3950
213.89;125.92;4029
215.73;124.61;3964
216.71;126.38;4010
215.41;125.46;4002.8
215.97;128.2;4017.2
216.9;132;4123
215.53;131.76;4114.4
219.18;133.99;4187.8
218.15;131.76;4191
221.57;133.25;4257
226.72;138.86;4288.6
227.16;140.55;4312
226.4;145.35;4340.2
226;147.1;4413.8
227.28;143.24;4360
225.99;140.77;4205
232.65;143.14;4185.8
242.4;144.65;4288.8
241.39;146.06;4366
239.99;143.75;4389.6
237.8;143.96;4500
236.3;143.57;4503
239.4;144.34;4620
232.48;144.35;4700
231.22;146.18;4772
231.81;145.72;4913.4
228.08;143.72;5055
227.8;143.52;4973.6
226.23;141.6;4842.8
226.3;139.38;4845
226.1;137.87;5089.4
227.64;137.5;5033
222.57;137.05;5070
218.32;136.5;4917.8
222.21;135.08;4885
221.32;136.77;4975
217.68;136.54;4670.2
218;136.86;4743.4
220.6;139.15;4597.8
221.07;138.39;4662
227.37;137.79;4730
231.5;139.84;4685.8
231.06;145.57;4637
231.46;148.68;4595
230.3;146.26;4628
226.25;142.24;4527.8
229.88;144.57;4900
228.5;143.9;5008.6
228.17;145.3;4775
228.24;144.65;4934
228.63;147.5;5080
225.48;148.96;5095
229.14;146.92;5062
227.23;146.01;4928.8
208.8;148.1;4907
208.89;154.53;4980
211.18;154.16;4869
210.6;151.9;4779.4
207.97;150.38;4714.6
205.38;149.55;4683
206.18;151.66;4759.8
205.03;148.4;4838.8
207.83;149.3;4772
203.85;150.25;4754.4
201.17;146.92;4530
202.78;144.42;4457
209.54;146.26;4340
210.33;146.94;4410.2
210.21;145.32;4455
214.5;142.67;4523.2
211.1;140.94;4504
207.64;141.18;4600.8
204.73;138.1;4586
205.58;140.3;4637.2
200.99;134.19;4561
204.5;133.2;4589.2
209.2;132.87;4591
216.7;137.75;4854.8
217.5;137.65;4927
228.05;141.24;4985.4
236.1;138.46;4696
244.2;135.73;4724.8
242.08;134.1;4718.8
242.99;134.57;4799
247.99;136.34;4735.2
245.7;136.05;4680
242.71;137.15;4691.2
240.27;138.96;4742.6
239.42;139.48;4745.6
239.7;138.69;4687.6
247.33;141.38;4935.8
251.91;142.78;4946
250.1;146.86;4985.2
251.59;153.1;5115
249.63;152.88;5278
260.81;154.82;5310.4
264.06;158.44;5193.6
263.14;157.86;5166
270;157.6;5065.2
274.36;157.51;5002.2
275.49;159;5066.4
276.89;162.57;5094
282.2;164.72;5169.2
283.73;167.71;5124
279.95;163;5040
278.7;165.35;5050
278.35;163.64;5198
278.5;163.21;5145.4
